Analog Frequency	Magnitude 	Phase
256	0.351742	171.641
256.18	0.351988	171.635
256.36	0.352235	171.629
256.54	0.352481	171.623
256.719	0.352728	171.617
256.899	0.352974	171.611
257.079	0.353221	171.606
257.259	0.353467	171.6
257.439	0.353714	171.594
257.619	0.35396	171.588
257.799	0.354207	171.582
257.978	0.354453	171.576
258.158	0.3547	171.57
258.338	0.354946	171.564
258.518	0.355193	171.559
258.698	0.355439	171.553
258.878	0.355686	171.547
259.058	0.355932	171.541
259.238	0.356179	171.535
259.417	0.356425	171.529
259.597	0.356672	171.523
259.777	0.356918	171.517
259.957	0.357165	171.512
260.137	0.357411	171.506
260.317	0.357657	171.5
260.497	0.357904	171.494
260.676	0.35815	171.488
260.856	0.358397	171.482
261.036	0.358643	171.476
261.216	0.35889	171.47
261.396	0.359136	171.465
261.576	0.359383	171.459
261.756	0.359629	171.453
261.935	0.359876	171.447
262.115	0.360122	171.441
262.295	0.360368	171.435
262.475	0.360615	171.429
262.655	0.360861	171.424
262.835	0.361108	171.418
263.015	0.361354	171.412
263.195	0.361601	171.406
263.374	0.361847	171.4
263.554	0.362094	171.394
263.734	0.36234	171.388
263.914	0.362587	171.382
264.094	0.362833	171.377
264.274	0.363079	171.371
264.454	0.363326	171.365
264.633	0.363572	171.359
264.813	0.363819	171.353
264.993	0.364065	171.347
265.173	0.364312	171.341
265.353	0.364558	171.335
265.533	0.364804	171.33
265.713	0.365051	171.324
265.892	0.365297	171.318
266.072	0.365544	171.312
266.252	0.36579	171.306
266.432	0.366037	171.3
266.612	0.366283	171.294
266.792	0.366529	171.288
266.972	0.366776	171.283
267.152	0.367022	171.277
267.331	0.367269	171.271
267.511	0.367515	171.265
267.691	0.367761	171.259
267.871	0.368008	171.253
268.051	0.368254	171.247
268.231	0.368501	171.241
268.411	0.368747	171.236
268.59	0.368993	171.23
268.77	0.36924	171.224
268.95	0.369486	171.218
269.13	0.369733	171.212
269.31	0.369979	171.206
269.49	0.370225	171.2
269.67	0.370472	171.194
269.849	0.370718	171.189
270.029	0.370965	171.183
270.209	0.371211	171.177
270.389	0.371457	171.171
270.569	0.371704	171.165
270.749	0.37195	171.159
270.929	0.372197	171.153
271.109	0.372443	171.147
271.288	0.372689	171.142
271.468	0.372936	171.136
271.648	0.373182	171.13
271.828	0.373429	171.124
272.008	0.373675	171.118
272.188	0.373921	171.112
272.368	0.374168	171.106
272.547	0.374414	171.1
272.727	0.37466	171.095
272.907	0.374907	171.089
273.087	0.375153	171.083
273.267	0.3754	171.077
273.447	0.375646	171.071
273.627	0.375892	171.065
273.806	0.376139	171.059
273.986	0.376385	171.054
274.166	0.376631	171.048
274.346	0.376878	171.042
274.526	0.377124	171.036
274.706	0.37737	171.03
274.886	0.377617	171.024
275.065	0.377863	171.018
275.245	0.378109	171.012
275.425	0.378356	171.007
275.605	0.378602	171.001
275.785	0.378849	170.995
275.965	0.379095	170.989
276.145	0.379341	170.983
276.325	0.379588	170.977
276.504	0.379834	170.971
276.684	0.38008	170.965
276.864	0.380327	170.96
277.044	0.380573	170.954
277.224	0.380819	170.948
277.404	0.381066	170.942
277.584	0.381312	170.936
277.763	0.381558	170.93
277.943	0.381805	170.924
278.123	0.382051	170.918
278.303	0.382297	170.913
278.483	0.382544	170.907
278.663	0.38279	170.901
278.843	0.383036	170.895
279.022	0.383283	170.889
279.202	0.383529	170.883
279.382	0.383775	170.877
279.562	0.384021	170.871
279.742	0.384268	170.866
279.922	0.384514	170.86
280.102	0.38476	170.854
280.282	0.385007	170.848
280.461	0.385253	170.842
280.641	0.385499	170.836
280.821	0.385746	170.83
281.001	0.385992	170.824
281.181	0.386238	170.819
281.361	0.386485	170.813
281.541	0.386731	170.807
281.72	0.386977	170.801
281.9	0.387224	170.795
282.08	0.38747	170.789
282.26	0.387716	170.783
282.44	0.387962	170.777
282.62	0.388209	170.772
282.8	0.388455	170.766
282.979	0.388701	170.76
283.159	0.388948	170.754
283.339	0.389194	170.748
283.519	0.38944	170.742
283.699	0.389686	170.736
283.879	0.389933	170.73
284.059	0.390179	170.725
284.239	0.390425	170.719
284.418	0.390672	170.713
284.598	0.390918	170.707
284.778	0.391164	170.701
284.958	0.39141	170.695
285.138	0.391657	170.689
285.318	0.391903	170.684
285.498	0.392149	170.678
285.677	0.392395	170.672
285.857	0.392642	170.666
286.037	0.392888	170.66
286.217	0.393134	170.654
286.397	0.39338	170.648
286.577	0.393627	170.642
286.757	0.393873	170.637
286.936	0.394119	170.631
287.116	0.394366	170.625
287.296	0.394612	170.619
287.476	0.394858	170.613
287.656	0.395104	170.607
287.836	0.395351	170.601
288.016	0.395597	170.595
288.196	0.395843	170.59
288.375	0.396089	170.584
288.555	0.396336	170.578
288.735	0.396582	170.572
288.915	0.396828	170.566
289.095	0.397074	170.56
289.275	0.39732	170.554
289.455	0.397567	170.548
289.634	0.397813	170.543
289.814	0.398059	170.537
289.994	0.398305	170.531
290.174	0.398552	170.525
290.354	0.398798	170.519
290.534	0.399044	170.513
290.714	0.39929	170.507
290.893	0.399537	170.501
291.073	0.399783	170.496
291.253	0.400029	170.49
291.433	0.400275	170.484
291.613	0.400521	170.478
291.793	0.400768	170.472
291.973	0.401014	170.466
292.152	0.40126	170.46
292.332	0.401506	170.454
292.512	0.401753	170.449
292.692	0.401999	170.443
292.872	0.402245	170.437
293.052	0.402491	170.431
293.232	0.402737	170.425
293.412	0.402984	170.419
293.591	0.40323	170.413
293.771	0.403476	170.407
293.951	0.403722	170.402
294.131	0.403968	170.396
294.311	0.404215	170.39
294.491	0.404461	170.384
294.671	0.404707	170.378
294.85	0.404953	170.372
295.03	0.405199	170.366
295.21	0.405446	170.36
295.39	0.405692	170.355
295.57	0.405938	170.349
295.75	0.406184	170.343
295.93	0.40643	170.337
296.109	0.406676	170.331
296.289	0.406923	170.325
296.469	0.407169	170.319
296.649	0.407415	170.313
296.829	0.407661	170.308
297.009	0.407907	170.302
297.189	0.408153	170.296
297.369	0.4084	170.29
297.548	0.408646	170.284
297.728	0.408892	170.278
297.908	0.409138	170.272
298.088	0.409384	170.267
298.268	0.40963	170.261
298.448	0.409877	170.255
298.628	0.410123	170.249
298.807	0.410369	170.243
298.987	0.410615	170.237
299.167	0.410861	170.231
299.347	0.411107	170.225
299.527	0.411354	170.22
299.707	0.4116	170.214
299.887	0.411846	170.208
300.066	0.412092	170.202
300.246	0.412338	170.196
300.426	0.412584	170.19
300.606	0.41283	170.184
300.786	0.413077	170.178
300.966	0.413323	170.173
301.146	0.413569	170.167
301.326	0.413815	170.161
301.505	0.414061	170.155
301.685	0.414307	170.149
301.865	0.414553	170.143
302.045	0.4148	170.137
302.225	0.415046	170.131
302.405	0.415292	170.126
302.585	0.415538	170.12
302.764	0.415784	170.114
302.944	0.41603	170.108
303.124	0.416276	170.102
303.304	0.416522	170.096
303.484	0.416768	170.09
303.664	0.417015	170.084
303.844	0.417261	170.079
304.023	0.417507	170.073
304.203	0.417753	170.067
304.383	0.417999	170.061
304.563	0.418245	170.055
304.743	0.418491	170.049
304.923	0.418737	170.043
305.103	0.418983	170.037
305.283	0.41923	170.032
305.462	0.419476	170.026
305.642	0.419722	170.02
305.822	0.419968	170.014
306.002	0.420214	170.008
306.182	0.42046	170.002
306.362	0.420706	169.996
306.542	0.420952	169.99
306.721	0.421198	169.985
306.901	0.421444	169.979
307.081	0.42169	169.973
307.261	0.421937	169.967
307.441	0.422183	169.961
307.621	0.422429	169.955
307.801	0.422675	169.949
307.98	0.422921	169.943
308.16	0.423167	169.938
308.34	0.423413	169.932
308.52	0.423659	169.926
308.7	0.423905	169.92
308.88	0.424151	169.914
309.06	0.424397	169.908
309.239	0.424643	169.902
309.419	0.424889	169.897
309.599	0.425136	169.891
309.779	0.425382	169.885
309.959	0.425628	169.879
310.139	0.425874	169.873
310.319	0.42612	169.867
