Analog Frequency	Real 	Imaginary
256	0.0511356	0.348005
256.18	0.0512071	0.348244
256.36	0.0512787	0.348482
256.54	0.0513504	0.348721
256.719	0.051422	0.348959
256.899	0.0514938	0.349198
257.079	0.0515655	0.349437
257.259	0.0516374	0.349675
257.439	0.0517093	0.349914
257.619	0.0517812	0.350152
257.799	0.0518532	0.350391
257.978	0.0519252	0.350629
258.158	0.0519973	0.350868
258.338	0.0520694	0.351106
258.518	0.0521416	0.351345
258.698	0.0522138	0.351583
258.878	0.052286	0.351822
259.058	0.0523584	0.35206
259.238	0.0524307	0.352298
259.417	0.0525032	0.352537
259.597	0.0525756	0.352775
259.777	0.0526481	0.353014
259.957	0.0527207	0.353252
260.137	0.0527933	0.35349
260.317	0.052866	0.353729
260.497	0.0529387	0.353967
260.676	0.0530115	0.354205
260.856	0.0530843	0.354444
261.036	0.0531571	0.354682
261.216	0.05323	0.35492
261.396	0.053303	0.355159
261.576	0.053376	0.355397
261.756	0.0534491	0.355635
261.935	0.0535222	0.355873
262.115	0.0535953	0.356112
262.295	0.0536685	0.35635
262.475	0.0537418	0.356588
262.655	0.0538151	0.356826
262.835	0.0538885	0.357064
263.015	0.0539619	0.357302
263.195	0.0540353	0.357541
263.374	0.0541088	0.357779
263.554	0.0541824	0.358017
263.734	0.054256	0.358255
263.914	0.0543296	0.358493
264.094	0.0544033	0.358731
264.274	0.0544771	0.358969
264.454	0.0545509	0.359207
264.633	0.0546247	0.359445
264.813	0.0546986	0.359683
264.993	0.0547725	0.359921
265.173	0.0548465	0.360159
265.353	0.0549206	0.360397
265.533	0.0549947	0.360635
265.713	0.0550688	0.360873
265.892	0.055143	0.361111
266.072	0.0552172	0.361349
266.252	0.0552915	0.361587
266.432	0.0553659	0.361825
266.612	0.0554403	0.362063
266.792	0.0555147	0.362301
266.972	0.0555892	0.362539
267.152	0.0556637	0.362777
267.331	0.0557383	0.363014
267.511	0.0558129	0.363252
267.691	0.0558876	0.36349
267.871	0.0559623	0.363728
268.051	0.0560371	0.363966
268.231	0.0561119	0.364204
268.411	0.0561868	0.364441
268.59	0.0562617	0.364679
268.77	0.0563367	0.364917
268.95	0.0564117	0.365155
269.13	0.0564868	0.365392
269.31	0.0565619	0.36563
269.49	0.0566371	0.365868
269.67	0.0567123	0.366105
269.849	0.0567876	0.366343
270.029	0.0568629	0.366581
270.209	0.0569383	0.366818
270.389	0.0570137	0.367056
270.569	0.0570892	0.367294
270.749	0.0571647	0.367531
270.929	0.0572403	0.367769
271.109	0.0573159	0.368006
271.288	0.0573915	0.368244
271.468	0.0574673	0.368481
271.648	0.057543	0.368719
271.828	0.0576188	0.368957
272.008	0.0576947	0.369194
272.188	0.0577706	0.369432
272.368	0.0578466	0.369669
272.547	0.0579226	0.369907
272.727	0.0579986	0.370144
272.907	0.0580747	0.370381
273.087	0.0581509	0.370619
273.267	0.0582271	0.370856
273.447	0.0583033	0.371094
273.627	0.0583796	0.371331
273.806	0.058456	0.371569
273.986	0.0585324	0.371806
274.166	0.0586088	0.372043
274.346	0.0586853	0.372281
274.526	0.0587619	0.372518
274.706	0.0588385	0.372755
274.886	0.0589151	0.372993
275.065	0.0589918	0.37323
275.245	0.0590686	0.373467
275.425	0.0591453	0.373704
275.605	0.0592222	0.373942
275.785	0.0592991	0.374179
275.965	0.059376	0.374416
276.145	0.059453	0.374653
276.325	0.05953	0.374891
276.504	0.0596071	0.375128
276.684	0.0596843	0.375365
276.864	0.0597614	0.375602
277.044	0.0598387	0.375839
277.224	0.059916	0.376076
277.404	0.0599933	0.376313
277.584	0.0600707	0.376551
277.763	0.0601481	0.376788
277.943	0.0602256	0.377025
278.123	0.0603031	0.377262
278.303	0.0603807	0.377499
278.483	0.0604583	0.377736
278.663	0.060536	0.377973
278.843	0.0606137	0.37821
279.022	0.0606915	0.378447
279.202	0.0607693	0.378684
279.382	0.0608472	0.378921
279.562	0.0609251	0.379158
279.742	0.0610031	0.379395
279.922	0.0610811	0.379632
280.102	0.0611591	0.379869
280.282	0.0612373	0.380106
280.461	0.0613154	0.380342
280.641	0.0613936	0.380579
280.821	0.0614719	0.380816
281.001	0.0615502	0.381053
281.181	0.0616286	0.38129
281.361	0.061707	0.381527
281.541	0.0617854	0.381763
281.72	0.0618639	0.382
281.9	0.0619425	0.382237
282.08	0.0620211	0.382474
282.26	0.0620998	0.382711
282.44	0.0621785	0.382947
282.62	0.0622572	0.383184
282.8	0.062336	0.383421
282.979	0.0624149	0.383657
283.159	0.0624938	0.383894
283.339	0.0625727	0.384131
283.519	0.0626517	0.384368
283.699	0.0627307	0.384604
283.879	0.0628098	0.384841
284.059	0.062889	0.385077
284.239	0.0629682	0.385314
284.418	0.0630474	0.385551
284.598	0.0631267	0.385787
284.778	0.063206	0.386024
284.958	0.0632854	0.38626
285.138	0.0633649	0.386497
285.318	0.0634444	0.386733
285.498	0.0635239	0.38697
285.677	0.0636035	0.387206
285.857	0.0636831	0.387443
286.037	0.0637628	0.387679
286.217	0.0638425	0.387916
286.397	0.0639223	0.388152
286.577	0.0640021	0.388389
286.757	0.064082	0.388625
286.936	0.0641619	0.388861
287.116	0.0642419	0.389098
287.296	0.0643219	0.389334
287.476	0.064402	0.389571
287.656	0.0644821	0.389807
287.836	0.0645623	0.390043
288.016	0.0646425	0.39028
288.196	0.0647228	0.390516
288.375	0.0648031	0.390752
288.555	0.0648835	0.390988
288.735	0.0649639	0.391225
288.915	0.0650443	0.391461
289.095	0.0651248	0.391697
289.275	0.0652054	0.391933
289.455	0.065286	0.39217
289.634	0.0653667	0.392406
289.814	0.0654474	0.392642
289.994	0.0655281	0.392878
290.174	0.065609	0.393114
290.354	0.0656898	0.39335
290.534	0.0657707	0.393587
290.714	0.0658517	0.393823
290.893	0.0659327	0.394059
